Comment,Gold Standard,Prediction
Improving our access to convenient transportation. Preparing our city to become more resilient to the environmental effects of global warming. Improving public health services in general.,Public Safety,Public Safety
User-friendly city website.,Technology,Technology
I'd like technology to be used to provide improved access to services and better management of resources to ensure sustainability and scalability of our city.,Technology,Technology
"More QR codes. Uploading city documents (i.e., tax exemption) online.",Technology,Technology
"We can order passports online, birth certificates, and social security cards online by being able to upload required documentation.",Technology,Technology
"Increased access to government services. i.e., DMV offices, tax collection offices, and lower wait times.",Technology,Technology
Accessibility.,Neither,Neither
Communication with our city and access to permits and other renewals we need to do.,Technology,Neither
Faster response time.,Neither,Neither
Help lower the cost of electricity.,Technology,Technology
Phone app for money back for recycling.,Technology,Technology
"I would like technology to be used to improve or create sidewalks in older neighborhoods that are in close proximity to historic sites (Ex: Hot Wells Hotel ruin). I would also like to see my city improve in our sustainability practices, such as the rejection of grass lawns and the normalization of alternative lawns.",Technology,Technology
Free broadband internet.,Technology,Technology
I'm not really sure.,Neither,Neither
More people to talk to. More knowledge.,Neither,Neither
Smarter red lights. Sensory.,Technology,Technology
More accessible to transportation and food help.,Public Safety,Technology
Easy access and affordable.,Neither,Neither
Available to low-income and older folks to help with the change in culture.,Neither,Neither
Use the internet to inform more about communities.,Technology,Technology
"I would like better transportation options, especially to colleges and busier parts of town.",Neither,Neither
I think for it to be more user-friendly.,Technology,Technology
Rail car.,Technology,Neither
"To provide a better connection to the public’s voices and government. And to provide higher quality facts and information (in a clear manner, free of jargon) for said public to make better decisions.",Technology,Technology
I'm not sure.,Neither,Neither
"I would like technology to be used to improve DMV, legal, and court services.",Technology,Technology
"Better access to technology, including internet, to all households or create an environment of awareness, progress, and connections.",Technology,Technology
More and better public transportation. Ecofriendly and affordable.,Public Safety,Neither
More transparency in services that are offered and how to use them. Better response times for all services. Better data on services being utilized.,Technology,Technology
More convenient forms of transportation and greater access to healthcare.,Public Safety,Public Safety
Seamless experience and ease of access.,Neither,Neither
Remote government services.,Technology,Technology
Continue using data to engage and gather citizen feedback.,Technology,Technology
Apps that have real-time data and can have forms on them to fill out.,Technology,Technology
Promoting the 311 app so more people know about it. Having a centralized point of communication is important. Having a space for innovative suggestions online or digital teams to tackle issues at a rapid rate.,Technology,Technology
Find ways to help San Antonio citizens respond to changes in climate.,Public Safety,Public Safety
"A digital resource of the resources available to San Antonians—organic matter trash cans, any composting services, mulch or ground cover materials, a list of local San Antonio businesses we can support. Maps that show where we can access green spaces. Increased access to public transportation options (meaning actual alternatives to drive, since adding an hour onto a commute isn't feasible) and accurate public transportation information to plan commutes when using public transportation.",Technology,Technology
Incorporation of technology into healthcare.,Both,Technology
Offer more specific information on city tech investments so residents can offer informed feedback and/or volunteer.,Technology,Technology
Equally across the board.,Neither,Neither
I'd love for the city to map heat islands and food deserts. I'd love for the city to get in contact with Cul-de-sac and ask them how they helped phoenix battle climate change and a housing crisis. I'd like a lot of things but with the people in charge it's doubtful to happen.,Technology,Technology
Provide in more underserved neighborhoods and communities,Neither,Neither
Marketing what the city has available.,Neither,Neither
"Digital bus route, digital map board on sidewalks downtown ",Technology,Technology
Free internet,Technology,Technology
Pedestrian lights at crosswalks,Both,Neither
"We could have an easy to use dashboard to get quick access to most public services like testing for covid locations, vaccinations and other city services. Most importantly creating a light rail system for San Antonio.",Both,Both
Smart traffic signals and other things that improve efficiency,Technology,Technology
needs to be more user friendly - many times I cannot find what I'm looking for on SA govt sites,Technology,Technology
Ease of access to public services.,Neither,Neither
Creating more walkways and making the pedestrian way of commuting safer.,Public Safety,Public Safety
Implement the use of cameras for high crime areas and school zones,Both,Both
"Stop using automated systems that both waste the consumers time and are ineffective! Stop companies and corporations from outsourcing positions oversea, employees are not well versed to handle client needs and are taking jobs away from citizens that need them here! Find and implement ways to stop robocalls and scams across the board for all consumers at no additional cost! And many other possibilities that technology could and in time will!",Technology,Technology
"Intelligent traffic management, and intelligent and efficient dispatch of emergency services. ",Both,Both
"improved service times for transit, better information access",Technology,Technology
Improve the ever growing transportation issue in San Antonio,Neither,Neither
Commuter Trains.,Technology,Technology
"Use data to improve public transportation frequency and speed. Better integrate the traffic management systems to improve flow. Improve the process of using and paying for public transportation services or public parking downtown. Also, do trains count as technology? Build more trains!",Technology,Technology
More accurate time windows for appointments,Neither,Neither
Technology that allows for the use of street swiping neighborhood streets.,Technology,Technology
"User friendly access to public data. Currently most city data is badly siloed, much of which is impossible to retrieve online and if you don't know the data exists, would be unlikely to be discovered.",Technology,Technology
Better websites and more automation of services to reduce wait times.,Technology,Technology
More classes to explain technology and how it works.,Technology,Technology
Yes,Neither,Neither
Quick and easy use.,Neither,Neither
To better the lives of all and not just those who can afford,Public Safety,Public Safety
Well designed public transportation and walkable multi-use development.,Neither,Neither
Services should be easy to access. Permitting shouldn't be so difficult. Processes should be transparent.,Technology,Technology
For those of us who can't afford internet public information announcements thru TV and radio when events and services are available.,Technology,Technology
Improve public transportation,Neither,Neither
"Tech is not the solution to improving public services. Properly funding transit, utilities, and changing to sustainable building is the solution. ",Technology,Technology
"report issues, get updates",Neither,Neither
"I believe that SA has many opportunities for greener initiatives. Technology innovation to assist with that, through informing and building reliable public transportation options would be great.",Technology,Technology
Having access to our local leaders to discuss local issues should already be happening.,Technology,Technology
"Public safety notifications, enable 911 service requests through text. SA Parent app to inform residents of child friendly free or low cost events, access to summer nutrition programs, subsidized day care or early childcare education options, maybe include animated video on history of SA.",Both,Both
Smart public transit and walkability,Technology,Technology
To make it easier to report or find what you need,Neither,Neither
"Dashboards that are easily accessible to understand state of various public resources. Water/air quality monitoring, i.e. sampling of water during pandemic to understand scale of spread. Dashboard of free wifi color coded by speed/strength. ",Both,Both
"I would like to see technology be used to improve movement of people, material (rail, aviation, etc) and improve public safety while respecting privacy and human rights.",Both,Both
Enable 2 way communication,Technology,Technology
"I would like to see technology change the shape of transportation, as well as ability to sustain our water and electricity. ",Technology,Technology
"hire trained web mgr information/technology specialists to gather, write and organize data in an easy to use and transparent way - and PLEASE get user feedback once you think you have a plan ",Technology,Technology
VIA App needs to be totally redone. Include live updates.,Technology,Technology
For social equity and education,Public Safety,Public Safety
Use to build more smart businesses and increase diversity of businesses in downtown.,Technology,Technology
Better tools for police and other first responders.,Public Safety,Public Safety
Make it more efficient and easy to use for users,Technology,Technology
"We need subway/rail system in San Antonio, instead if buses. We can then use technology to plan trip and make public transportation more appealing.",Technology,Technology
"For streets that are altered to one lane during construction, please lengthen the time a light is green to allow more people to pass. at this point, on Cesar Chavez at 7:30 am it takes 15-20 to cross the intersection to get on I-10. ",Neither,Neither
"Easier to obtain any appointments needed. SAHA does not respond to their emails in a timely manner; create a queue that they have a certain period of time to respond and take care of something that needs to get done. My mother has been waiting over a month to get an inspection so she can move into her apartment and the email sat in an organizational mailbox for over a month and nobody had read/received it. Covid isn't as much of a factor now, people need to stop using that as an excuse for poor service.",Technology,Technology
"Making WiFi available city-wide, especially to assist in online education.",Technology,Technology
"I'd like technology to improve the availability of services and accuracy of information and ability for people to get the information they need. Most of all, I'd like technology to improve the safety of our city.",Both,Both
"Become friendlier for pedestrians and improve public transport, reduce environmental impact, live better together",Neither,Neither
Monitoring crime.,Both,Both
"Develop infrastructure(Power, technology, internet etc) that does not stop/ go down on high load - increase load capacity. Utilize technology to improve security and reduce crime rate.",Both,Both
Actual people that can quickly respond to questions,Neither,Neither
More virtual town halls to receive citizens' input.,Technology,Technology
Easier access to the services and personal assistance to guide people to and through the necessary system(s).,Neither,Neither
Support organizations like Geekdom.,Neither,Neither
"Faster response times for emergency services, better tools for identifying and solving crimes and prosecuting criminals, emergency alert and guidance systems",Both,Both
Rail system so people use less cars. Less dependency on gas and coal,Neither,Neither
LIGHT RAIL,Neither,Neither
More robust apps to engage the local government with the people,Technology,Technology
If someone calls to report a pothole or a water main break the appropriate crew would be sent to address the problem.,Neither,Neither
QR codes placed on city property to help connect residents to important info.,Technology,Technology
More public accessibility for disabled individuals.,Neither,Neither
Reliable bus and rail schedules synced to phones or texts. See NYC bus system for examples.,Technology,Technology
Continued progress on ease of access to healthcare and making it more affordable.,Neither,Neither
"Prioritizing affordable healthcare, and clean public transportation ",Neither,Neither
"The via app trip planner is HORRIBLE. 311 app is HORRIBLE, not even functional at all. These are basic, vital resources the city is neglecting. ",Technology,Technology
Using technology to help curb illegal immigration or using it to build a wall,Technology,Technology
Better online integration as it applies to accessing public transportation schedules/getting on public transit,Technology,Technology
"Roof-top solar, light rail service",Neither,Neither
Invest is proper mass transit. Do NOT invest in garbage like Tesla Hyperloop and electric buses.,Technology,Technology
Use demographic data to better take care of those without means to take care of themselves.,Neither,Neither
Clear and accesible voting information,Neither,Neither
Railway systems with automated schedule update notices for any delays.,Technology,Technology
Replace buses with electric rails.,Neither,Neither
Technology should allow all city services to be accessed on your phone.,Both,Technology
Enhance public transportation and incorporate light rail.,Neither,Neither
Use it to target the communities that need it most,Neither,Neither
Make city/community resources available in an easy to digest format. 211 sucks,Neither,Neither
Giving citizens more voice.,Neither,Neither
"Solar energy, fiber internet, light rail ",Technology,Technology
"Timed traffic lights, online access to more city services,",Neither,Technology
Analysis of environmental impact,Neither,Neither
Integrate into a better public transit system,Neither,Neither
Rail way public transit system.,Neither,Neither
A rail-based public transit that spans the entire city and not just one area.,Neither,Neither
"The city, county & state work off DOS systems. These need to be updated to allow for city/county/state employees to be more efficient in allocating resources.",Technology,Technology
"Support public transport, communicate important information to city inhabitants",Neither,Neither
Streamlined (similar) experiences across all services.,Neither,Neither
Reduce costs,Neither,Neither
"Expanding Internet access to all, providing reliable and safer transportation options that are better for our air quality, and providing a more reliable power grid that reduces cost to the consumer.",Technology,Technology
Speaking to someone live vs the maze of automated Q&A responses.,Technology,Technology
"Better city website and communication, especially communication with representatives (messaging councilperson is currently text-only), better use of data to optimize traffic and public transit routes and identify ideal areas for higher density zoning, ",Technology,Technology
better connection with public transit (bus/train schedule),Neither,Neither
everything online... let me track garbage trucks (like VIA buses)... send me text message alerting me to potential power outages... etc..,Technology,Technology
"Local leaders can use Google to see how expanding highways doesn't actually solve traffic problems, and then realize that we need a rail system and protected bike lines.",Neither,Neither
I would like it to encourage culture and community.,Neither,Neither
"Real-time update about crime, traffic, events.",Both,Both
"Public transportation such as trains, light rails, subway",Neither,Neither
Local government websites need to be easier for the elderly to use,Neither,Neither
Better syncing traffic lights to lessen idling vehicles. Create a police drone to check on certain areas to combat crime and better response times.. Use technology to help track and catch habitual car thiefs by faster response times.,Technology,Technology
"Trains- rail transportation, solar ",Neither,Neither
Access to public and affordable transportation options.,Neither,Neither
"Give Via busses priority at lights, provide wifi on busses AND at bus stops, improve looking up bus schedules and real-time bus ETAs on the phone, and account for temporarily missing bus stops on schedules and ETAs.",Technology,Technology
Increasing public transport such as light rails to encourage people to move around the city. Decreasing dependency on cars will increase walkability as well as decrease obesity,Neither,Neither
"Improve efficiency of public transit, including adding options such as light rail.",Neither,Neither
"Electrify trains, light rail. This technology is not old or expensive. ",Technology,Technology
please more busses so i dont have to wait 30 min,Neither,Neither
N/a,Neither,Neither
Build trains and streetcars,Neither,Neither
More efficient traffic and improved first responder response times,Both,Neither
Increase and improve public transportation,Neither,Neither
Better transportation infrastructure. Public city calendar feeds you can subscribe to.,Technology,Neither
"Needs to be user friendly. Needs to be well advertised. Needs to be available. As a senior citizen I am finding the greatest obstacle to my independence is health care. It's difficult to get to Dr offices. Not just in terms of travel, but also in terms of easy access to the offices. Also, time in Dr waiting rooms is excessive. I often spend 1-2 hours in waiting room for a 5-10 minute Dr visit. How can technology help with this? I don't know, but I'm sure it can.""",Both,Both
"We need rail in this city to some extent, even if just downtown. We keep building and expanding roads which is known not to solve traffic issues. We keep increasing via bus services, but our city is so massive it leads to inefficiencies.",Neither,Neither
Make great public transportation,Neither,Neither
"Jury selection process should be entirely via remote services, so a 12 member jury with alternates will only come to the courthouse in person once selected; kiosks at local grocers and stores to make bill pay etc. be more accessible; broader means of voting for those who want to fulfill civic duties without sacrificing time at work/school to take leave and do so",Technology,Technology
Better accessible information and process available.,Technology,Technology
Greater access and efficiency,Technology,Technology
Make it accessible like San Diego,Neither,Neither
"Technology should enable public services to be easily accessible and easy to understand. There is no reason a municipal website should look 5 years behind Kohl's website, it's sad",Technology,Technology
We desperately need something like a high speed rail system to increase our public transportation offerings and decrease traffic and fuel reliance. More commuters may be willing to use public transportation if it were more timely and reliable.,Neither,Neither
Universal app for all city services and local utilities,Technology,Technology
I want car free zones all over San Antonio and smart traffic lights.,Technology,Technology
To improve accessibility to various services and programs,Neither,Neither
"I'm thinking an app that has QR codes around the city, that, depending on where you are, you can scan the code, and get some sort of transportation map and select where you want to go, and then the results show you how to get there",Technology,Technology
Internet service for everyone,Technology,Technology
"Public transportation will be a necessity the more San Antonio grows, and technology can make that easier and more accessible ",Technology,Technology
More accurate waiting times for public transportation.,Technology,Technology
Improved public transport,Neither,Neither
Internet needs to classified as a utility so that all citizens have access to it in their home.,Technology,Technology
Better communication,Neither,Neither
More data,Technology,Technology
"Technology was useful during Covid to get updates and vital info from the city government. We still need Covid and public health updates. I appreciate these surveys to give our input. I'd like technology in the form of red light cameras to monitor and fine dangerous speeders using Vance Jackson, Huebner, Lockhill Selma, De Zavala, etc as personal racetracks. Cars go 60+ mph through our neighborhoods. That's my #1 concern. I've been hit a speeder and also many close calls with crazy drivers speeding through our neighborhoods and school zones. Road rage and speeding, aggressive drivers ",Both,Both
Identifying areas of concerns for citizens and optimizing procedures for improving the quality of life.,Both,Both
Public transportation,Neither,Neither
In whatever way it can be.,Neither,Neither
Making processes more clear and more efficient. Create more public spaces/parks like the Pearl.,Technology,Technology
"Increased communication about what sorts of programs are available, more outreach",Neither,Neither
Rail system,Neither,Neither
Rail for public transit that is safe and convenient. Connect to Austin in the future for growth.,Neither,Neither
"There should be an easy to use app for 311. Also, I should be able to use an app like ""waste wizard"" to find specific info for my houses trash services. I'd like to be able to search what goes in what bin and schedule additional services through it. Public transit does not need such a thing because it should be so frequent I don't need to check an app!",Technology,Technology
Better response time to the citizens request for change.,Neither,Neither
Trains,Neither,Neither
Optimization of public transit to serve a broader community more effectively and reliably.,Neither,Neither
Online outreach programs to help the homeless and mentally ill through libraries,Neither,Neither
City wide train system like the dart train in Dallas,Neither,Neither
Easier on line access to research info.,Neither,Neither
Using technology while upgrading infrastructure,Technology,Technology
Apps with clean interface to find resources near me,Technology,Technology
Create awareness of new knowledge and technology so we can educate the people and help bridge the digital divide,Technology,Technology
Make internet free to all,Technology,Technology
Make rail available,Neither,Neither
Residential technology to protect residents and crime. Access road systems to preauthorized public trespassing.,Both,Both
For benchmark measurements - and to make the raw data public.,Technology,Technology
Smart street lights. Crime reporting stations like on college campuses on walking streets.,Both,Both
"""Technology"" is not the solution. Adequate funding and the will to implement proven solutions (light rail, public housing, etc) would go much further than new technology.",Technology,Technology
"Make data informed decisions - identify and remediate crime hotspots/trends, traffic bottlenecks, adaptive pricing to encourage better electric and water usage, etc. Surveillance data to aid public safety and prosecution of crimes (cameras, license plate scanners, etc.).",Both,Both
Ese of accessing public service and information. Simple and easy online service to pay my taxes,Neither,Neither
More transparency in all areas,Neither,Neither
"In a more efficient manner, cut back on the extras",Neither,Neither
"Currently, the CoSA online payment system for bills (ie: monthly parking) requires using Internet Explorer that doesn't even exist anymore. This is a super basic pain point for everyday life and an easy fix. Super disrupting monthly just trying to pay a bill. They require paper checks or a phone back and forth to pay a small bill. The hours this takes is costly. There are many larger issues like hyperconnectivity to improve healthcare, transportation, basic services (ie: water, safety, etc.) that could make a huge personal and economic impact on citizens, businessnesses, and visitors.",Both,Both
"Help me secure rental housing, housing assistance and help with improving my credit. Easier access to for sale homes before investors buy them.",Neither,Neither
"Safety, security, and stability.",Public Safety,Public Safety
"Make city services more efficient. Whether that is access to city owned facilities, digitize forms/paperwork or increase phone service attendants. Think LEAN!",Technology,Technology
Increased public transportation such as rail in order to connect areas outside of the downtown area.,Neither,Neither
Better public transportations,Neither,Neither
"I would like technology to better inform local decisions, specifically, how to make our city more resilient and environmentally friendly. ",Technology,Technology
Allow me to get a text message on my trash day or if the day has changed that week. Allow me to find free parking downtown (if available) or spots that are convenient with access. Provide more ways to pay for parking downtown that are seamless and convenient. Show me a list of all the activities around the city by date/time/price so I know what is going on.,Technology,Technology
Be able to access public transit with apps,Technology,Technology
An easily website or app that can be used from cel phone.,Technology,Technology
Providing open access speeds up action times.,Neither,Neither
"Equitable internet & digital device access, piloting new technologies & incentivizing smart city tech companies to be in SA, actual reliable workable transit/rail options that will also help reduce CO2 emissions & make the productivity gap smaller, new energy infrastructure",Technology,Technology
"We can use technology to design permaculture smart cities where less concrete -highways - parking lots - box stores can be made into parks, green spaces, and self-sufficient productive gardens for pollinators, edible food, and overall sustain the health and ecosystem of our existence. ",Technology,Technology
Free reliable Wi-Fi throughout the city/public areas,Technology,Technology
Scan codes at bus stops,Technology,Technology
"Open data, better user centered design of services, improved public transportation, surveillance transparency",Technology,Technology
Wifi made more accessible. The city website made easier to navigate. Make the technology mobile phone friendly.,Technology,Technology
Internet as an unencumbered civic utility.,Technology,Technology
Access to information and easy to use the platform to interact with government. Make better decisions by including residents' input.,Technology,Technology
